År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2020;9 augusti;217;118;19;40;41;18;99;8;17;47;27;;0809;9;augusti;2020;;;;;;601;1;juni
2020;8 augusti;237;128;23;38;45;22;109;13;22;35;39;;0808;8;augusti;2020;;;;;;602;2;juni
2020;7 augusti;265;124;15;41;47;21;141;13;33;56;39;;0807;7;augusti;2020;;;;;;603;3;juni
2020;6 augusti;211;110;12;38;33;27;101;10;23;40;28;;0806;6;augusti;2020;;;;;;604;4;juni
2020;5 augusti;213;115;14;37;47;17;98;9;16;41;32;;0805;5;augusti;2020;;;;;;605;5;juni
2020;4 augusti;210;103;16;27;38;22;107;5;27;43;32;;0804;4;augusti;2020;;;;;;606;6;juni
2020;3 augusti;218;97;10;40;30;17;121;7;33;40;41;;0803;3;augusti;2020;;;;;;607;7;juni
2020;2 augusti;245;113;17;49;30;17;132;12;39;40;41;;0802;2;augusti;2020;;;;;;608;8;juni
2020;1 augusti;213;108;12;32;41;23;105;6;25;44;30;;0801;1;augusti;2020;;;;;;609;9;juni
2020;31 juli;219;126;17;47;41;21;93;8;31;28;26;;0731;31;juli;2020;;;;;;610;10;juni
2020;30 juli;213;104;8;30;45;21;109;6;31;37;35;;0730;30;juli;2020;;;;;;611;11;juni
2020;29 juli;213;93;18;34;25;16;120;12;33;39;36;;0729;29;juli;2020;;;;;;612;12;juni
2020;28 juli;212;91;20;39;24;8;121;10;47;32;32;;0728;28;juli;2020;;;;;;613;13;juni
2020;27 juli;231;128;13;40;52;23;103;10;27;35;31;;0727;27;juli;2020;;;;;;614;14;juni
2020;26 juli;204;101;17;36;34;14;103;9;24;29;41;;0726;26;juli;2020;;;;;;615;15;juni
2020;25 juli;218;104;15;32;43;14;114;7;28;43;36;;0725;25;juli;2020;;;;;;616;16;juni
2020;24 juli;244;112;12;41;41;18;132;7;33;42;50;;0724;24;juli;2020;;;;;;617;17;juni
2020;23 juli;240;126;15;36;46;29;114;7;30;39;38;;0723;23;juli;2020;;;;;;618;18;juni
2020;22 juli;197;101;15;30;37;19;96;10;31;26;29;;0722;22;juli;2020;;;;;;619;19;juni
2020;21 juli;211;99;16;32;32;19;112;16;22;34;40;;0721;21;juli;2020;;;;;;620;20;juni
2020;20 juli;226;110;15;45;33;17;116;13;29;31;43;;0720;20;juli;2020;;;;;;621;21;juni
2020;19 juli;211;104;16;36;33;19;107;11;22;39;35;;0719;19;juli;2020;;;;;;622;22;juni
2020;18 juli;246;120;16;44;27;33;126;7;34;49;36;;0718;18;juli;2020;;;;;;623;23;juni
2020;17 juli;220;104;14;35;31;24;116;15;26;39;36;;0717;17;juli;2020;;;;;;624;24;juni
2020;16 juli;201;90;9;37;29;15;111;7;27;38;39;;0716;16;juli;2020;;;;;;625;25;juni
2020;15 juli;225;120;14;50;37;19;105;13;26;37;29;;0715;15;juli;2020;;;;;;626;26;juni
2020;14 juli;193;106;16;33;44;13;87;3;26;32;26;;0714;14;juli;2020;;;;;;627;27;juni
2020;13 juli;217;115;14;39;44;18;102;15;19;46;22;;0713;13;juli;2020;;;;;;628;28;juni
2020;12 juli;206;101;12;30;45;14;105;7;25;41;32;;0712;12;juli;2020;;;;;;629;29;juni
2020;11 juli;211;102;18;24;47;13;109;10;26;46;27;;0711;11;juli;2020;;;;;;630;30;juni
2020;10 juli;235;120;16;52;37;15;115;10;16;41;48;;0710;10;juli;2020;;;;;;701;1;juli
2020;9 juli;260;139;21;45;52;21;121;14;23;51;33;;0709;9;juli;2020;;;;;;702;2;juli
2020;8 juli;218;109;10;42;40;17;109;9;28;35;37;;0708;8;juli;2020;;;;;;703;3;juli
2020;7 juli;213;103;14;35;38;16;110;8;31;34;37;;0707;7;juli;2020;;;;;;704;4;juli
2020;6 juli;228;117;18;36;36;27;111;10;34;39;28;;0706;6;juli;2020;;;;;;705;5;juli
2020;5 juli;211;113;16;42;33;22;98;7;27;31;33;;0705;5;juli;2020;;;;;;706;6;juli
2020;4 juli;230;102;12;34;41;15;128;15;24;52;37;;0704;4;juli;2020;;;;;;707;7;juli
2020;3 juli;220;95;9;39;29;18;125;7;32;45;41;;0703;3;juli;2020;;;;;;708;8;juli
